row_index,text,entity,role,ID
59,afan kurniawan adalah simbol rakyat kecil yang tertindas oleh sistem jika pemerintah abai krisis bisa berubah jadi kerusuhan besar saksikan analisis lengkap di video kami reformasipolri suararakyat anakbangsa,reformasipolri suararakyat anakbangsa,ORG,60
60,banyak yang menduga sabotase diamdiam bisa terjadi dari orang dekat prabowo sendiri krisis beras pajak mencekik hingga kasus afan semua berpotensi melemahkan pemerintahannya politikindonesia reformasipolri,prabowo,PER,61
60,banyak yang menduga sabotase diamdiam bisa terjadi dari orang dekat prabowo sendiri krisis beras pajak mencekik hingga kasus afan semua berpotensi melemahkan pemerintahannya politikindonesia reformasipolri,afan,PER,61
61,demo amplifier agustus memuncak rakyat marah karena krisis ekonomi pajak naik amplifier kelangkaan beras kematian afan kurniawan driver ojol jadi titik application programming interface yang menyulut emosi kolektif reformasipolri afankurniawan,afan kurniawan,PER,62
61,demo amplifier agustus memuncak rakyat marah karena krisis ekonomi pajak naik amplifier kelangkaan beras kematian afan kurniawan driver ojol jadi titik application programming interface yang menyulut emosi kolektif reformasipolri afankurniawan,afankurniawan,PER,62
62,afan kurniawan bukan sekadar korban dia simbol kemarahan rakyat polisi arogan harus diusut polri wajib direformasi prabowo harus berani bersihbersih atau sabotase akan melemahkan pemerintahannya sendiri reformasipolri krisisindonesia suararakyat,afan kurniawan,PER,63
62,afan kurniawan bukan sekadar korban dia simbol kemarahan rakyat polisi arogan harus diusut polri wajib direformasi prabowo harus berani bersihbersih atau sabotase akan melemahkan pemerintahannya sendiri reformasipolri krisisindonesia suararakyat,prabowo,PER,63
63,krisis beras pajak naik rakyat marah kematian afan kurniawan jadi titik application programming interface dpr amplifier pejabat jangan arogan polri wajib dirombak intelijen harus ungkap provokator indonesia butuh ketegasan amplifier empati keadilanuntukrakyat reformasipolri anakbangsa,afan kurniawan,PER,64
64,demo rakyat memuncak pasca kematian afan kurniawan publik menuntut reformasi polri total bukan sekadar janji jika prabowo tidak berani rotasi besarbesaran potensi kerusuhan makin besar reformasipolri demoindonesia afankurniawan,afan kurniawan,PER,65
64,demo rakyat memuncak pasca kematian afan kurniawan publik menuntut reformasi polri total bukan sekadar janji jika prabowo tidak berani rotasi besarbesaran potensi kerusuhan makin besar reformasipolri demoindonesia afankurniawan,prabowo,PER,65
64,demo rakyat memuncak pasca kematian afan kurniawan publik menuntut reformasi polri total bukan sekadar janji jika prabowo tidak berani rotasi besarbesaran potensi kerusuhan makin besar reformasipolri demoindonesia afankurniawan,afankurniawan,PER,65
77,primawan dwiki kami catat nama dan mukamu acab reformasipolri,primawan dwiki,PER,78
80,forum advokasi ugm berdiri bersama keluarga korban bersama paralytic burug yang ditindas dan bersama seluruh rakyat yang suaranya hendak dibungkam kami bersuara karena diam berarti bersekutu dengan penindasan justiceforaffan hentikanrepresifitasnegara reformasipolri,forum advokasi ugm,ORG,81
86,sudah di ijinkan tembak di tempat bangun tidur lihat berita ini mau di bawa ke mana negeri ini rakyat selalu jadi tumbal keserakahan paralytic pejabat dan penguasa reformasipolri reformasipolri negeriparabedebah negeriparabedebah,reformasipolri reformasipolri negeri,ORG,87
89,polri superbody perlu direformasi reformasipolri hatihatikamumulaiberpikir,##kamumulaiberpikir,PER,90
90,gila segininya buat melawan rakyat sendiri reformasi polisi termasuk perubahan pemahaman bahwa mereka itu publik layan bukan security force reformasipolri defundthepolice defundpolri,security force reformasipolri defundthepolice defundpolri,ORG,91
93,waspada temanteman stop it prabowo sama sigit sudah berani mengeluarkan perintah tembak massa aksi tinggal something or someone good cah reformasipolri polisipembunuhrakyat dprri,prabowo,PER,94
93,waspada temanteman stop it prabowo sama sigit sudah berani mengeluarkan perintah tembak massa aksi tinggal something or someone good cah reformasipolri polisipembunuhrakyat dprri,sigit,PER,94
104,kita lanjut ke polrestabes surabaya bebaskan teman kami more information gabung aksi pesan ignorant arekgerak kiss arekgerak acab reformasipolri resetindonesia,ignorant,PER,105
108,rakyat di sini berjuang sambil direpresi anggota dpr yang bikin ulah malah pada kabur ke luar negeri kurang bangsat dan bajingan apa mereka ini bubarkandprri bubarkandpr reformasipolri turunkanprabowogibran,##prabowogibran,PER,109
110,bapak prabowo segera ke dpr wujudkan kedamaian amplifier kesejahteraan rakyat tuntaskan tuntutan mahasiswa dari organisasi perintahkan kapolri tangkap ahmad sahroni sekarang juga indonesiagelap reformasipolri tindaktegas,prabowo,PER,111
110,bapak prabowo segera ke dpr wujudkan kedamaian amplifier kesejahteraan rakyat tuntaskan tuntutan mahasiswa dari organisasi perintahkan kapolri tangkap ahmad sahroni sekarang juga indonesiagelap reformasipolri tindaktegas,ahmad sahroni,PER,111
111,panggilan kepada seluruh warga sipil surabaya kami hadir membersamai aksi reformasi polri sabtu polda jatim more information gabung aksi pesan ignorant arekgerak kiss arekgerak atau hubungi aku acab reformasipolri resetindonesia,ignorant,PER,112
111,panggilan kepada seluruh warga sipil surabaya kami hadir membersamai aksi reformasi polri sabtu polda jatim more information gabung aksi pesan ignorant arekgerak kiss arekgerak atau hubungi aku acab reformasipolri resetindonesia,acab,PER,112
133,kenapa harus demo bubarkandpr reformasipolri adilijokowi gulingkanoligarki turunkanprabowogibran indonesiagalap panggilandarurat,adilijokowi,PER,134
135,indonesia semua permasalahan ini tidak akan selesai kalau seandainya elit politik kita tetap sama mau bubarkandpr turunkan prabowo atau reformasipolri dan terjadi reformasijilid reformasijilid sama saja kalau partai tetap isi elit nya sama sumber masalahnya disitu,prabowo,PER,136
138,ini bukan soal antipolisi kita ingin polisi yang profesional dihormati karena melindungi rakyat bukan ditakuti karena merasa kebal hukum keadilan untuk affan adalah ujian negara hukum aparat tunduk pada hukum atau hukum tunduk pada aparat keadilanuntukaffan reformasipolri,affan,PER,139
144,mobil hasil dari uang rakyat digunakan untuk membunuh rakyat justiceforaffan reformasipolri,justiceforaffan reformasi,PER,145
146,bacot puan evaluasi apa buat ini sudah kekerasan tersruktur masiv dan korban sudah berjatuhan dari kanjuruhan fpi terakhir ojol mau berapa nyawa lagi yang jatuh hanya sekedar evaluasi tuntaskan reformasipolri,puan,PER,149
155,pembunuh pamtas diteriaki pembunuh reformasipolri resetindonesia,pamtas,PER,158
159,anggota brimob ditahan usai rantis melindas driver ojol affan kurniawan publik menuntut sidang etik cepat amplifier ptdh kepercayaan pada polri dipertaruhkan mampukah institusi ini buktikan keberpihakan pada keadilan affankurniawan brimob reformasipolri keadilanuntukaffan,affan kurniawan,PER,162
159,anggota brimob ditahan usai rantis melindas driver ojol affan kurniawan publik menuntut sidang etik cepat amplifier ptdh kepercayaan pada polri dipertaruhkan mampukah institusi ini buktikan keberpihakan pada keadilan affankurniawan brimob reformasipolri keadilanuntukaffan,affankurniawan,PER,162
160,brutalitas polisi menghadapi aksi demonstran telah menewaskan affan kurniawan kasus ini harus diusut tuntas dan kekerasan aparat terhadap warga perlu segera diakhiri polisipembunuhrakyat hentikanbrutalitasaparat reformasipolri cwi,affan kurniawan,PER,163
168,sama sama hangeul tapi beda konteks reformasipolri indonesiagelap reformasidpr ripdemocracy,hangeul,PER,172
201,baca laporan pengendalian tidak terkendali selengkapnya melalui website kontras reformasipolri,kontras reformasipolri,ORG,205
207,warga berdatangan ke gerbang utama dpr ri kamis di senayan jakarta setelah melihat lilin menyala amplifier papan ucapan dukacita yang dibawa massa aksi dari bem stop it sumber baca berita lainnya di,bem stop it,ORG,211
210,bapak rocky gerung bilang kalau semua di reshuffle bahaya buat bowo dan kestabilan negara polisipembunuh resetindonesia,rocky gerung,PER,214
210,bapak rocky gerung bilang kalau semua di reshuffle bahaya buat bowo dan kestabilan negara polisipembunuh resetindonesia,bowo,PER,214
211,suara langkah kaki dan teriakan mungkin tidak terdengar lagi tapi selembar tangan dan sejumlah perangkat masih bisa bersuara artistbersuara resetindonesia indonesiagelap bubarkandpr,artistbersuara resetindonesia indonesia,ORG,215
214,hentikan penggusuran amplifier perampasan tanah laksanakan reforma agraria sejati mari turun bersama organisasi tani amplifier rakyat melawan penggusuran dan perampasan pada kamis di depan dpr ri mari resetindonesia dengan reforma agraria sejati sebagai basis industrialisasi nasional,tani amplifier rakyat,ORG,218
221,kakak hey you mainin disc jockey setengah resetindonesia di warteg skena,hey you,PER,225
228,ibuprofen teddy boti yang membesarkan mulyono mana mungkin dia lupa lagian tidak ada gunanya mengidolakan seperti begini polisipembunuh resetindonesia,teddy boti,PER,232
228,ibuprofen teddy boti yang membesarkan mulyono mana mungkin dia lupa lagian tidak ada gunanya mengidolakan seperti begini polisipembunuh resetindonesia,mulyono,PER,232
229,laugh move siapsiap kalah lagi seperti dengan ferry irwandi polisipembunuh resetindonesia dprbebannegara,ferry irwandi,PER,233
235,soal tuntutan ada kemiripan dengan kekuasaan dinilai terpusat di leader maka menggulingkannya jadi utama metodenya keras resetindonesia tidak ditujukan untuk menumbangkan struktur aktor apa apa cenderung programatik imply ada kesempatan berbenah maka pakai cara cara demokratis,resetindonesia,ORG,239
236,tidak percaya akan diurus kalian hanya perwakilan idf di indonesia dasar pembunuh polisipembunuh resetindonesia,idf,ORG,240
238,termul langsung mute block dia polisipembunuh resetindonesia,termu,PER,242
239,siber tapi dipimpin boomer hiya kalau bapak onno aku purbo baru aku percaya polisipembunuh resetindonesia,onno,PER,243
239,siber tapi dipimpin boomer hiya kalau bapak onno aku purbo baru aku percaya polisipembunuh resetindonesia,purbo,PER,243
247,hasil pengeluaran toto macau sore hari ini rabu result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,toto macau,ORG,251
248,kode meminta dilemparin sampah lagi ini polisipembunuh resetindonesia dprbebannegara,kode,PER,252
253,sudah beli a lot of mereka jokowis white money polisipembunuh resetindonesia,jokowi,PER,257
262,dunia mulai bersuara from jakarta ke dunia sejak awal muncul resetindonesia ytta pasti paham semuanya sesuai agenda2030 with effect from begitu greatreset influencer disebar acting dimainkan seolah pro rakyat dimunculkan hero dibuat issue ada asing memecah padahal semua scripted,ytta,PER,266
263,mengingatkan kalian dan paralytic pemengaruh bahwa di luar jakarta dan kota besar di jawa masih banyak warga berjuang demi hugs and kisses hidup di ruang hidupnya dan masih ada pegiat ham yang diboenoe karenanya resetindonesia,resetindonesia,ORG,267
264,hasil pengeluaran sydney lotto hari ini rabu result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,siapwd resetindonesia,ORG,268
264,hasil pengeluaran sydney lotto hari ini rabu result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,pondphuwinfancon,PER,268
274,hasil pengeluaran toto cambodia hari ini rabu result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,toto cambodia,ORG,278
274,hasil pengeluaran toto cambodia hari ini rabu result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,siapwd resetindonesia,ORG,278
274,hasil pengeluaran toto cambodia hari ini rabu result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,bbcprovokator,ORG,278
281,hasil pengeluaran baru york evening hari ini rabu result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,siapwd resetindonesia,ORG,286
281,hasil pengeluaran baru york evening hari ini rabu result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,pondphuwinfancon,PER,286
286,phantasy tour about to throw up nikel kembali beroperasi antara news resetindonesia,news resetindonesia,ORG,291
290,aku tidak percaya selama itu belum benaran terjadi itu dprd pati bikin grup pemakzulan bupati sampai sekarang owedus masih menjabat polisipembunuh resetindonesia dprbebannegara,owedus,PER,296
293,mirip sih ini sama malah hasil akhir yang masih berbeda resetindonesia,resetindonesia,ORG,299
295,mau keponakan luhut tidak masalah tapi kalau hanya menyerang sisi itu baru masalah kalau dia berani nyinggu geng solo berkalikali aku baru percaya polisipembunuh resetindonesia,luhut,PER,301
298,hasil pengeluaran king kong 4d malam hari ini selasa result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,siapwd resetindonesia,ORG,304
298,hasil pengeluaran king kong 4d malam hari ini selasa result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,pondphuwinfancon,PER,304
313,vian apakah suara kritis lingkungan kembali dibungkam resetindonesia,vian,PER,321
314,pra pesan resetindonesia dari ekspedisi karya yusuf priambodo dan masih berlangsung sampai tanggal sept ada harga khusus pemesanan via pesan atau bisa langsung commanding officer shopee mumpung dapat voucher,yusuf priambodo,PER,322
315,pra pesan resetindonesia karya yusuf priambodo dan masih berlangsung sampai tanggal sept ada harga khusus pemesanan via pesan atau bisa langsung commanding officer shopee mumpung dapat voucher,yusuf priambodo,PER,323
320,selain itu juga mendesak pemerintah seharusnya secara aktif menerapkan pajak yang lebih tinggi bagi perusahaanperusahaan perusak lingkungan dan kelompok superkaya wealth tax resetindonesia,superkaya wealth tax resetindonesia,ORG,328
322,ini perlu di usut negara ini krisis kemanusiaan selain ekonomi tidak bisa di anggap remeh resetindonesia noviralnojustice,resetindonesia,ORG,330
322,ini perlu di usut negara ini krisis kemanusiaan selain ekonomi tidak bisa di anggap remeh resetindonesia noviralnojustice,noviralnojustice,PER,330
326,resetindonesia maksudnya kembali ke uud sebelum amandemen kah kalau begitu itu yang diinginkan prabowo,prabowo,PER,334
330,update situasi karena kondisi masih gerimis sejak siang beberapa lemas tetap saling jaga semuanya semangat resetindonesia,resetindonesia,ORG,339
331,duet maut dia dan mulyono ngutangkhamun polisipembunuh resetindonesia,mulyono,PER,340
336,prabowo membuktikan prinsip dasar law of attraction kita attract who kita are resetindonesia,prabowo,PER,345
345,hasil pengeluaran sydney lotto hari ini selasa result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,siapwd resetindonesia,ORG,354
356,hasil pengeluaran toto cambodia hari ini selasa result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,toto cambodia,ORG,366
356,hasil pengeluaran toto cambodia hari ini selasa result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,siapwd resetindonesia,ORG,366
356,hasil pengeluaran toto cambodia hari ini selasa result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,bbcprovokator,ORG,366
361,andre gaktaudiri buzzer pemerintah never forget polisimembunuh resetindonesia,andre gaktau,PER,371
362,ini lisa ikutan tuntutan hijau pink resetindonesia,lisa,PER,372
365,menkeu nya ternyata sama buruk nya dengan sri mulyani srimulyono10th resetindonesia tentang,sri mulyani srimulyono10th,PER,375
366,coyy lloud ikut resetindonesia,coyy lloud,PER,376
367,menkeu pecat sri mulyani sayang mrpresident yang kanan tidak selalu baik cek komennya tentang affan kurniawan yang kiri tidak selalu buruk cek komennya negara harus mendengar rakyatnya resetindonesia indonesia sinner,sri mulyani,PER,377
367,menkeu pecat sri mulyani sayang mrpresident yang kanan tidak selalu baik cek komennya tentang affan kurniawan yang kiri tidak selalu buruk cek komennya negara harus mendengar rakyatnya resetindonesia indonesia sinner,affan kurniawan,PER,377
367,menkeu pecat sri mulyani sayang mrpresident yang kanan tidak selalu baik cek komennya tentang affan kurniawan yang kiri tidak selalu buruk cek komennya negara harus mendengar rakyatnya resetindonesia indonesia sinner,resetindonesia indonesia,ORG,377
371,netanyahu united my begini dari dulu liberal oportunis dan selalu jadi penjilat kekuasaan polisipembunuh resetindonesia dprbebannegara,netanyahu,PER,381
376,threads feed anak menteri keuangan yang baru menggantikan smi jauh lebih absurd dibanding stories instagram belum kehapus tapi anak menkeu pro resetindonesia amplifier percaya black swan theory setidaknya dia marah agustus brimob melindas gojek affan kurniawan,smi,PER,388
376,threads feed anak menteri keuangan yang baru menggantikan smi jauh lebih absurd dibanding stories instagram belum kehapus tapi anak menkeu pro resetindonesia amplifier percaya black swan theory setidaknya dia marah agustus brimob melindas gojek affan kurniawan,gojek,PER,388
376,threads feed anak menteri keuangan yang baru menggantikan smi jauh lebih absurd dibanding stories instagram belum kehapus tapi anak menkeu pro resetindonesia amplifier percaya black swan theory setidaknya dia marah agustus brimob melindas gojek affan kurniawan,affan kurniawan,PER,388
377,satu nyawa bukan hanya hitungan angka setiap satu lilin mati maka akan hidup kembali beribu kali terus gaungkan dengan lantang lawan aksi seribu lilin dan dead on arrival bersama malam ini resetindonesia,resetindonesia,ORG,389
380,ini bijimana polapola otoritarian soeharto dihidupkan kembali mau dibawa ke mana negara ini resetindonesia,soeharto,PER,392
385,drug abuse resistance education ke explain semua of this bapak dan ibuprofen terutama tunjangan jabatan dan tunjangan kehormatan apakah itu dan apa perbedaannya serta apa fungsifungsi honorariumhonorarium tersebut resetindonesia,resetindonesia,ORG,397
386,semoga yang dipilih benarbenar pro rakyat bukan pro dengan kekuasaan yang ada sekarang resetindonesia wujudkanindonesiadamai dan sejahtera,resetindonesia,ORG,399
391,negara ini makin lama makin karam orang pintar tidak terpakai di negeri ini hanya penjilat dan yang mau kongkalikong dengan penguasalah yang berjaya dinegeri ini resetindonesia dprmanafungsikontrolmu indonesiagelap indonesiagelap resuflekabinet,resetindonesia dprmanafungsikontrolmu indonesia,ORG,404
391,negara ini makin lama makin karam orang pintar tidak terpakai di negeri ini hanya penjilat dan yang mau kongkalikong dengan penguasalah yang berjaya dinegeri ini resetindonesia dprmanafungsikontrolmu indonesiagelap indonesiagelap resuflekabinet,resuflekabinet,ORG,404
400,hasil pengeluaran singapore hari ini senin result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfanco,pondphuwinfanco,PER,413
401,usut lagi resetindonesia,resetindonesia,ORG,414
403,prapesan masih berlangsung patjarboekoe bisa memesan resetindonesia ke toko a lot of indi kesayangan kalian patjarmin sudah mutakhirkan daftar toko bukunya,patjarboekoe,PER,416
403,prapesan masih berlangsung patjarboekoe bisa memesan resetindonesia ke toko a lot of indi kesayangan kalian patjarmin sudah mutakhirkan daftar toko bukunya,patjarmin,PER,416
404,hey you demo lagi teman biar ada yang diganti lagi ini bukti demo kemarin bekerja selain ini tersangkanya nadiem polisipembunuhrakyat resetindonesia dprbebannegara,nadiem polisi,PER,417
405,dan you berita reshuffle sukses menutup tuntutan rakyat kematian orang dan mematikan karakter orangorang yang speak atas kita kalah telak resetindonesia,resetindonesia,ORG,418
408,jika memang jawaban tidak kamu dapatkan jangan tangisi coba lalui teka tekinya resetindonesia,resetindonesia,ORG,421
410,reshuffle kabinet hari ini jatuh pada senin on berarti neptu sifat neptu yang katanya titisan darah biru ini hatihati tapi suka kemewahan apa makna dalam reshuffle ini apa pesan tersirat dari prabowo tidak ada mboh resident advisor penting negarane tep bajingan resetindonesia,prabowo,PER,423
414,kalau ada yang keberatan warna pinknya dari ibuibu yang mengomong kasar yasudah dari celananya sahroni saja resetindonesia acab,resetindonesia acab,ORG,427
417,dia bisa jadi sekolah blanked bersih dan selamatkan anak bangsa rakyat bersuara tapi akankah wakil rakyat mendengar oleh grup kajian imgitb titikikat resetindonesia,grup kajian imgitb titikikat resetindonesia,ORG,430
418,yasudah kalau begitu turunin dong syarat pelamar kerja jangan administrator on forum network etc s1 kan m3mbat4s1 hugs and kisses warg4 negar4 resetindonesia,yasudah,PER,431
421,hasil pengeluaran sydney lotto hari ini senin result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfanco,siapwd resetindonesia,ORG,434
421,hasil pengeluaran sydney lotto hari ini senin result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfanco,bbcprovokator,ORG,434
421,hasil pengeluaran sydney lotto hari ini senin result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfanco,pondphuwinfanco,PER,434
423,hasil pengeluaran bullseye hari ini senin result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,siapwd resetindonesia,ORG,436
426,no kan dengan cantiknya arah demo dibelokkan kembali lagi yang terjadi degradasi prabroro usaha terus menempelkan citra sebagai pelanggar ham tapi jualan wakilnya foto bareng ojol bagi sembako gabung siskamling dsb baik framing resetindonesia,prabroro,PER,440
428,apa yang dia khawatirkan bukan koruptor tapi antek asing asing dan asing cuih bubarkandpr resetindonesia,resetindonesia,ORG,442
435,jijik sangat kenapa sih sulit cari keadilan di negeri ini sampai kapan kita harus dibungkam seperti begini kalian mau memperkaya diri kalian sebanyak apalagi freedomforlaras resetindonesia,freedomforlaras resetindonesia,ORG,449
436,hasil pengeluaran kentucky evening hari ini senin result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,siapwd resetindonesia,ORG,450
436,hasil pengeluaran kentucky evening hari ini senin result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,pondphuwinfancon,PER,450
437,hasil pengeluaran baru york evening hari ini senin result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,siapwd resetindonesia,ORG,451
437,hasil pengeluaran baru york evening hari ini senin result selamat kepada pemenang siapwd resetindonesia bbcprovokator pondphuwinfancon,pondphuwinfancon,PER,451
439,no setuju ini dengan pendapat kakak bivitri soal tuntutan itu daripada kita saling ribut sendiri fokus lah ke inti persoalan dan save energy untuk tujuan awal yaitu resetindonesia,bivitri,PER,453
